Team,P,W,L,D,F,A,Pts
Arsenal,38,26,9,3,79,36,87
Liverpool,38,24,8,6,67,30,80
Manchester_U,38,24,5,9,87,45,77
Newcastle,38,21w,8L,9,F 74,A 52,71
Leeds,38,18,12,8,53,37,66
Chelsea,38,17,13,8,66,38,64
West_Ham,38,15,8,*15,48,57,53
Aston_Villa,38,12,14,12,46,47,50
Tottenham,38,14w,8l,16,49,53,50
Blackburn,38,12,10,16,55,51,46
Southampton,38,12,9,17,46,54,45
Middlesbrough,38,12,9,17,F 35,A 47,45
Fulham,38,10,14,14,36,44,44
Charlton,38,10,14,14,38,49,44
Everton,38,11,10,17,45,57,43
Bolton,38,9,13,16,44,62,40
Sunderland,38.00,10.00,10.00,18.00,29.00,51.00,40.00
Ipswich,38,9,9,20,41,64,36
Derby,38,8,6,24,33,63,30
Leicester,38,5,13,20,30**,64,28
